generation,best_fitness,mean_fitness,min_fitness,max_fitness,std_fitness,best_effective_code_rate,best_total_length,best_effective_length,mean_program_length,std_program_length,best_ever_fitness,best_ever_generation
0,0.03400000000000002,0.026720000000000018,0.02000000000000001,0.03400000000000002,0.0069943977582062125,0.0,2,0,5.76,2.915887514977215,0.03400000000000002,0
1,0.03400000000000002,0.03204000000000003,0.02000000000000001,0.03400000000000002,0.004857818440411297,0.0,2,0,6.26,3.4860292597739337,0.03400000000000002,0
2,0.03400000000000002,0.033440000000000025,0.02000000000000001,0.03400000000000002,0.002743428511917162,0.0,2,0,7.24,4.5058184606128995,0.03400000000000002,0
3,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,2,0,6.9,3.848376280978771,0.03400000000000002,0
4,0.03400000000000002,0.03372000000000003,0.02000000000000001,0.03400000000000002,0.001960000000000002,0.0,2,0,6.8,3.847076812334269,0.03400000000000002,0
