generation,best_fitness,mean_fitness,min_fitness,max_fitness,std_fitness,best_effective_code_rate,best_total_length,best_effective_length,mean_program_length,std_program_length,best_ever_fitness,best_ever_generation
0,0.03400000000000002,0.022800000000000015,0.02000000000000001,0.03400000000000002,0.005600000000000004,0.0,2,0,4.8,2.7856776554368237,0.03400000000000002,0
1,0.03400000000000002,0.031200000000000023,0.02000000000000001,0.03400000000000002,0.005600000000000005,0.0,2,0,4.0,2.280350850198276,0.03400000000000002,0
2,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,2,0,4.2,2.993325909419153,0.03400000000000002,0
3,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,2,0,2.8,1.16619037896906,0.03400000000000002,0
4,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,2,0,3.2,1.469693845669907,0.03400000000000002,0
