generation,best_fitness,mean_fitness,min_fitness,max_fitness,std_fitness,best_effective_code_rate,best_total_length,best_effective_length,mean_program_length,std_program_length,best_ever_fitness,best_ever_generation
0,0.03400000000000002,0.02560000000000002,0.02000000000000001,0.03400000000000002,0.006858571279792904,0.0,7,0,4.8,2.7856776554368237,0.03400000000000002,0
1,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,7,0,5.0,2.280350850198276,0.03400000000000002,0
2,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,7,0,7.0,3.286335345030997,0.03400000000000002,0
3,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,7,0,7.0,3.847076812334269,0.03400000000000002,0
4,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,7,0,4.2,4.1182520563948,0.03400000000000002,0
