generation,best_fitness,mean_fitness,min_fitness,max_fitness,std_fitness,best_effective_code_rate,best_total_length,best_effective_length,mean_program_length,std_program_length,best_ever_fitness,best_ever_generation
0,0.03400000000000002,0.028400000000000022,0.02000000000000001,0.03400000000000002,0.006858571279792905,0.0,1,0,5.52,3.2077406378945286,0.03400000000000002,0
1,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,1,0,5.9,4.129164564412516,0.03400000000000002,0
2,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,1,0,5.1,4.1340053217188775,0.03400000000000002,0
3,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,1,0,5.02,3.8600000000000003,0.03400000000000002,0
4,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,1,0,4.86,3.655188093655373,0.03400000000000002,0
