generation,best_fitness,mean_fitness,min_fitness,max_fitness,std_fitness,best_effective_code_rate,best_total_length,best_effective_length,mean_program_length,std_program_length,best_ever_fitness,best_ever_generation
22,0.03400000000000002,0.03358000000000001,0.02000000000000001,0.03400000000000002,0.002388221095292479,0.0,1,0,4.84,3.0057278652599275,0.03400000000000002,0
23,0.03400000000000002,0.03344000000000002,0.02000000000000001,0.03400000000000002,0.002743428511917162,0.0,1,0,5.33,3.2925825729964617,0.03400000000000002,0
24,0.03400000000000002,0.03364800000000002,0.02000000000000001,0.03400000000000002,0.0020771364904598848,0.0,1,0,4.78,2.9345527768298867,0.03400000000000002,0
25,0.03400000000000002,0.03344000000000002,0.02000000000000001,0.03400000000000002,0.0027434285119171623,0.0,1,0,5.27,3.215136077991101,0.03400000000000002,0
26,0.03400000000000002,0.03380000000000002,0.02000000000000001,0.03400000000000002,0.0015099668870541512,0.0,1,0,4.96,3.1620246678354675,0.03400000000000002,0
27,0.03400000000000002,0.03372000000000002,0.02000000000000001,0.03400000000000002,0.0019600000000000017,0.0,1,0,4.72,2.874299914761854,0.03400000000000002,0
28,0.03400000000000002,0.03330000000000002,0.02000000000000001,0.03400000000000002,0.003051229260478474,0.0,1,0,4.96,2.781797979724624,0.03400000000000002,0
29,0.06390000000000004,0.034019000000000015,0.02000000000000001,0.06390000000000004,0.0035860478245556097,0.125,8,1,5.15,3.157134776977378,0.06390000000000004,29
30,0.06390000000000004,0.03387900000000002,0.02000000000000001,0.06390000000000004,0.003847786246661842,0.125,8,1,5.3,3.144837038703278,0.06390000000000004,29
31,0.07610000000000006,0.034160000000000024,0.02000000000000001,0.07610000000000006,0.0058718480906781,0.16666666666666666,6,1,5.54,3.6617482163578643,0.07610000000000006,31
32,0.07610000000000006,0.03396000000000002,0.02000000000000001,0.07610000000000006,0.00606816281917353,0.16666666666666666,6,1,4.8,3.2218007387174024,0.07610000000000006,31
33,0.07610000000000006,0.03391900000000002,0.02000000000000001,0.07610000000000006,0.006080307475777853,0.16666666666666666,6,1,5.08,3.3931696096717596,0.07610000000000006,31
34,0.07610000000000006,0.03458000000000002,0.02000000000000001,0.07610000000000006,0.005318627642540887,0.16666666666666666,6,1,5.16,3.2549039924397154,0.07610000000000006,31
35,0.07610000000000006,0.03476600000000002,0.02000000000000001,0.07610000000000006,0.005612222732572188,0.16666666666666666,6,1,4.61,2.952609015768935,0.07610000000000006,31
36,0.07610000000000006,0.034501000000000025,0.02000000000000001,0.07610000000000006,0.006338619644686062,0.16666666666666666,6,1,5.08,3.279268211049532,0.07610000000000006,31
37,0.07610000000000006,0.03478200000000002,0.02000000000000001,0.07610000000000006,0.005991433551329769,0.16666666666666666,6,1,4.61,3.19967185817546,0.07610000000000006,31
38,0.07610000000000006,0.035063000000000025,0.03400000000000002,0.07610000000000006,0.005608808340458785,0.16666666666666666,6,1,4.63,3.138964797508886,0.07610000000000006,31
39,0.16649999999999998,0.03606500000000002,0.02000000000000001,0.16649999999999998,0.014742587120312364,0.2,5,1,4.8,3.0594117081556713,0.16649999999999998,39
40,0.16649999999999998,0.03620500000000002,0.02000000000000001,0.16649999999999998,0.014655581701181293,0.2,5,1,5.01,3.0016495464993915,0.16649999999999998,39
41,0.16649999999999998,0.03636100000000002,0.02000000000000001,0.16649999999999998,0.014753534457884989,0.2,5,1,4.92,2.8798611077619696,0.16649999999999998,39
42,0.16649999999999998,0.03839000000000002,0.02000000000000001,0.16649999999999998,0.015917452685652932,0.2,5,1,4.94,2.8803472012936218,0.16649999999999998,39
43,0.16649999999999998,0.04045600000000002,0.02000000000000001,0.16649999999999998,0.020294286486595186,0.2,5,1,5.02,2.7963547700533278,0.16649999999999998,39
44,0.16649999999999998,0.041404000000000024,0.02000000000000001,0.16649999999999998,0.020622846166327286,0.2,5,1,5.52,3.315056560603454,0.16649999999999998,39
45,0.16649999999999998,0.04649000000000004,0.02000000000000001,0.16649999999999998,0.02676179553019566,0.2,5,1,5.83,2.976759983606337,0.16649999999999998,39
46,0.16649999999999998,0.04862600000000002,0.02000000000000001,0.16649999999999998,0.028902811697134243,0.2,5,1,6.28,3.6443929535657924,0.16649999999999998,39
47,0.17839999999999995,0.05428000000000002,0.02000000000000001,0.17839999999999995,0.03515640482188131,0.1111111111111111,9,1,7.22,4.114802546903071,0.17839999999999995,47
48,0.2620999999999995,0.05844100000000003,0.02000000000000001,0.2620999999999995,0.04017284180886383,0.07692307692307693,13,1,6.99,3.4712965877320245,0.2620999999999995,48
49,0.2620999999999995,0.05972200000000002,0.02000000000000001,0.2620999999999995,0.04028065188151747,0.07692307692307693,13,1,7.51,3.8091862648077472,0.2620999999999995,48
50,0.2620999999999995,0.06492600000000003,0.02000000000000001,0.2620999999999995,0.0453390992852747,0.07692307692307693,13,1,7.2,3.3196385345395663,0.2620999999999995,48
51,0.2620999999999995,0.06875100000000002,0.02000000000000001,0.2620999999999995,0.04759011555985125,0.07692307692307693,13,1,7.23,3.781150618528704,0.2620999999999995,48
52,0.2729,0.07669000000000001,0.02000000000000001,0.2729,0.057455830861627914,0.1111111111111111,9,1,7.41,3.682648503455088,0.2729,52
53,0.2729,0.08035600000000002,0.02000000000000001,0.2729,0.06116536490531218,0.1111111111111111,9,1,7.71,4.0627453772049265,0.2729,52
54,0.2729,0.08660600000000004,0.02000000000000001,0.2729,0.06273453087415251,0.1111111111111111,9,1,7.67,3.8731253529933674,0.2729,52
55,0.2729,0.089046,0.02000000000000001,0.2729,0.06338197128521639,0.1111111111111111,9,1,7.26,3.336525138523611,0.2729,52
56,0.2729,0.08911000000000004,0.02000000000000001,0.2729,0.06539573457038307,0.1111111111111111,9,1,7.78,4.0511233010117085,0.2729,52
57,0.2729,0.09251000000000001,0.02000000000000001,0.2729,0.06800070955512151,0.1111111111111111,9,1,7.79,3.4213886069840127,0.2729,52
58,0.2729,0.09756900000000002,0.02000000000000001,0.2729,0.06954214218011977,0.1111111111111111,9,1,8.08,3.9941957888916764,0.2729,52
59,0.27849999999999986,0.10016800000000002,0.02000000000000001,0.27849999999999986,0.07128933564005205,0.07142857142857142,14,1,8.28,3.72848494699925,0.27849999999999986,59
60,0.27849999999999986,0.102744,0.02000000000000001,0.27849999999999986,0.0722186517736242,0.07142857142857142,14,1,7.97,3.732170949996798,0.27849999999999986,59
61,0.27849999999999986,0.10409500000000001,0.02000000000000001,0.27849999999999986,0.07192135757200355,0.07142857142857142,14,1,7.82,3.570378131234842,0.27849999999999986,59
62,0.27849999999999986,0.10971100000000003,0.02000000000000001,0.27849999999999986,0.07142594051883387,0.07142857142857142,14,1,7.49,3.5707002114431283,0.27849999999999986,59
63,0.27849999999999986,0.10765800000000002,0.02000000000000001,0.27849999999999986,0.07396807578949172,0.07142857142857142,14,1,7.48,3.260306734035925,0.27849999999999986,59
64,0.27849999999999986,0.10853800000000001,0.02000000000000001,0.27849999999999986,0.07387673352280806,0.07142857142857142,14,1,7.49,3.5199289765562036,0.27849999999999986,59
65,0.27849999999999986,0.11419300000000002,0.02000000000000001,0.27849999999999986,0.07522356446619631,0.07142857142857142,14,1,7.0,3.0886890422961,0.27849999999999986,59
66,0.27849999999999986,0.11074400000000001,0.02000000000000001,0.27849999999999986,0.07554039623936318,0.07142857142857142,14,1,7.6,3.815756805667782,0.27849999999999986,59
67,0.27849999999999986,0.11481400000000001,0.02000000000000001,0.27849999999999986,0.07475888177333842,0.07142857142857142,14,1,7.66,3.9603535195737263,0.27849999999999986,59
68,0.27849999999999986,0.110997,0.02000000000000001,0.27849999999999986,0.07665484127568194,0.07142857142857142,14,1,7.6,3.1400636936215167,0.27849999999999986,59
69,0.27849999999999986,0.11324499999999998,0.02000000000000001,0.27849999999999986,0.07755188763015373,0.07142857142857142,14,1,7.5,3.7456641600656084,0.27849999999999986,59
70,0.27849999999999986,0.11640299999999998,0.02000000000000001,0.27849999999999986,0.0770878725286928,0.07142857142857142,14,1,7.32,3.607991130809498,0.27849999999999986,59
71,0.27849999999999986,0.117694,0.02000000000000001,0.27849999999999986,0.07675487322639515,0.07142857142857142,14,1,7.61,3.6793885361565177,0.27849999999999986,59
72,0.27849999999999986,0.11292999999999999,0.02000000000000001,0.27849999999999986,0.07739088641435754,0.07142857142857142,14,1,7.61,3.5380644426013497,0.27849999999999986,59
73,0.27849999999999986,0.11115,0.02000000000000001,0.27849999999999986,0.07884813821517912,0.07142857142857142,14,1,8.0,3.880721582386451,0.27849999999999986,59
74,0.27849999999999986,0.12084699999999997,0.02000000000000001,0.27849999999999986,0.07782187797142903,0.07142857142857142,14,1,7.48,3.853517873320429,0.27849999999999986,59
75,0.27849999999999986,0.11605800000000002,0.02000000000000001,0.27849999999999986,0.07912144991088062,0.07142857142857142,14,1,7.75,4.048147724577254,0.27849999999999986,59
76,0.27849999999999986,0.11710599999999999,0.02000000000000001,0.27849999999999986,0.08050731248774855,0.07142857142857142,14,1,7.78,3.5569087702666766,0.27849999999999986,59
