generation,best_fitness,mean_fitness,min_fitness,max_fitness,std_fitness,best_effective_code_rate,best_total_length,best_effective_length,mean_program_length,std_program_length,best_ever_fitness,best_ever_generation
0,0.03400000000000002,0.029240000000000016,0.02000000000000001,0.03400000000000002,0.006631922798103132,0.0,1,0,5.11,2.918544157623797,0.03400000000000002,0
1,0.03400000000000002,0.03288000000000001,0.02000000000000001,0.03400000000000002,0.003798104790550153,0.0,1,0,5.35,3.2630507198019463,0.03400000000000002,0
2,0.03400000000000002,0.03330000000000002,0.02000000000000001,0.03400000000000002,0.003051229260478474,0.0,1,0,5.12,3.2841437240169618,0.03400000000000002,0
3,0.03400000000000002,0.033660000000000016,0.02000000000000001,0.03400000000000002,0.0020406861591141367,0.0,1,0,5.25,3.3477604454321397,0.03400000000000002,0
4,0.03400000000000002,0.03358000000000001,0.02000000000000001,0.03400000000000002,0.0023882210952924795,0.0,1,0,5.22,3.612699821463167,0.03400000000000002,0
5,0.03400000000000002,0.033720000000000014,0.02000000000000001,0.03400000000000002,0.0019600000000000017,0.0,1,0,5.39,3.552168351866223,0.03400000000000002,0
6,0.03400000000000002,0.03337100000000001,0.02000000000000001,0.03400000000000002,0.0028143310039865626,0.0,1,0,5.18,3.044273312302954,0.03400000000000002,0
7,0.03400000000000002,0.03330000000000002,0.02000000000000001,0.03400000000000002,0.003051229260478474,0.0,1,0,5.06,3.208800398902992,0.03400000000000002,0
8,0.03400000000000002,0.033492000000000015,0.02000000000000001,0.03400000000000002,0.0025290978628752215,0.0,1,0,4.84,2.6896839963088603,0.03400000000000002,0
9,0.03400000000000002,0.03358000000000001,0.02000000000000001,0.03400000000000002,0.002388221095292479,0.0,1,0,4.89,3.049245808392626,0.03400000000000002,0
10,0.03400000000000002,0.033720000000000014,0.02000000000000001,0.03400000000000002,0.0019600000000000017,0.0,1,0,5.23,3.3700296734598645,0.03400000000000002,0
11,0.03400000000000002,0.03344000000000002,0.02000000000000001,0.03400000000000002,0.0027434285119171623,0.0,1,0,5.44,3.4214616759507916,0.03400000000000002,0
12,0.03400000000000002,0.03358000000000001,0.02000000000000001,0.03400000000000002,0.002388221095292479,0.0,1,0,5.28,3.5555027773860624,0.03400000000000002,0
13,0.03400000000000002,0.03358000000000001,0.02000000000000001,0.03400000000000002,0.002388221095292479,0.0,1,0,5.03,3.185765214198937,0.03400000000000002,0
14,0.03400000000000002,0.03358000000000002,0.02000000000000001,0.03400000000000002,0.002388221095292479,0.0,1,0,5.06,3.1490315971739626,0.03400000000000002,0
15,0.03400000000000002,0.033720000000000014,0.02000000000000001,0.03400000000000002,0.0019600000000000017,0.0,1,0,5.16,3.058496362593881,0.03400000000000002,0
16,0.03400000000000002,0.033720000000000014,0.02000000000000001,0.03400000000000002,0.0019600000000000017,0.0,1,0,4.75,2.7726341266023544,0.03400000000000002,0
17,0.03400000000000002,0.03358000000000001,0.02000000000000001,0.03400000000000002,0.0023882210952924795,0.0,1,0,5.26,3.419415154671922,0.03400000000000002,0
18,0.03400000000000002,0.03344000000000002,0.02000000000000001,0.03400000000000002,0.0027434285119171623,0.0,1,0,5.64,3.407403703701691,0.03400000000000002,0
19,0.03400000000000002,0.03344000000000002,0.02000000000000001,0.03400000000000002,0.0027434285119171623,0.0,1,0,5.15,3.296589146375387,0.03400000000000002,0
20,0.03400000000000002,0.03344000000000002,0.02000000000000001,0.03400000000000002,0.0027434285119171623,0.0,1,0,5.18,3.3922853653547484,0.03400000000000002,0
21,0.03400000000000002,0.03386000000000002,0.02000000000000001,0.03400000000000002,0.0013929824119492688,0.0,1,0,4.62,3.0554214111968254,0.03400000000000002,0
