generation,best_fitness,mean_fitness,min_fitness,max_fitness,std_fitness,best_effective_code_rate,best_total_length,best_effective_length,mean_program_length,std_program_length,best_ever_fitness,best_ever_generation
0,0.03400000000000002,0.02896000000000002,0.02000000000000001,0.03400000000000002,0.006720000000000006,0.0,7,0,5.76,2.915887514977215,0.03400000000000002,0
1,0.03400000000000002,0.03372000000000003,0.02000000000000001,0.03400000000000002,0.0019600000000000017,0.0,7,0,6.2,3.504283093587046,0.03400000000000002,0
2,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,7,0,5.88,3.3084135170803544,0.03400000000000002,0
3,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,7,0,6.46,3.4305101661414734,0.03400000000000002,0
4,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,7,0,6.48,3.2014996486021987,0.03400000000000002,0
