generation,best_fitness,mean_fitness,min_fitness,max_fitness,std_fitness,best_effective_code_rate,best_total_length,best_effective_length,mean_program_length,std_program_length,best_ever_fitness,best_ever_generation
0,0.03400000000000002,0.02840000000000002,0.02000000000000001,0.03400000000000002,0.006858571279792904,0.0,9,0,4.8,2.7856776554368237,0.03400000000000002,0
1,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,9,0,7.8,2.1354156504062622,0.03400000000000002,0
2,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,9,0,7.6,4.127953488110059,0.03400000000000002,0
3,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.03400000000000002,0.0,0.0,9,0,8.2,4.261455150532503,0.03400000000000002,0
4,0.03400000000000002,0.031200000000000023,0.02000000000000001,0.03400000000000002,0.005600000000000005,0.0,9,0,7.8,3.6551333764994136,0.03400000000000002,0
